[01483946][I] gp_test   cmd: t appc settings dump
[01483947][I] settings  [T:   12] settings_dump:12319 [USMi] = 1
[01483947][I] settings  [T:   12] settings_dump:12319 [TFMT] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [SCTm] = 4
[01483947][I] settings  [T:   12] settings_dump:12319 [SCPr] = e00e0
[01483947][I] settings  [T:   12] settings_dump:12319 [PCTL] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [HTMB] = 1
[01483947][I] settings  [T:   12] settings_dump:12319 [PSII] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [PIPD] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [POWi] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [AVEp] = 80000
[01483947][I] settings  [T:   12] settings_dump:12319 [AVTp] = 90000
[01483947][I] settings  [T:   12] settings_dump:12319 [VTBE] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [CUMX] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [AEVP] = a0000
[01483947][I] settings  [T:   12] settings_dump:12319 [AEVE] = b0000
[01483947][I] settings  [T:   12] settings_dump:12319 [AEPS] = c0000
[01483947][I] settings  [T:   12] settings_dump:12319 [AETP] = d0000
[01483947][I] settings  [T:   12] settings_dump:12319 [VPIM] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [WLAC] = 0
[01483947][I] gp_test   T_SUCCESS (appc): 0
